supplier,checkIn,nights,pos,city,hotel_id,adults,hotel_name,latitude,longitude,board,currency,star_rating,pathPage,promotion,promotion_desc,direct_Payment,multiple_zone_check,room_type,hotel_location,total_price
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",120.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",120.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",142.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",178.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",200.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",120.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",64.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",64.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",64.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",120.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",142.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",178.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",64.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",84.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",120.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",200.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",256.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",64.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",120.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",178.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",200.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",234.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",256.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",64.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",64.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",120.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",234.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",256.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",314.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",178.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",178.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",314.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",314.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",64.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",64.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",234.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",256.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",292.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",292.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",314.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",370.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",370.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",370.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",370.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,91712,2,Panama Majestic,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Economy-Zimmer","Italien, Emilia Romagna, Rimini",350.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Comfort-Zimmer","Italien, Emilia Romagna, Rimini",178.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Junior-Suite, Meerblick","Italien, Emilia Romagna, Rimini",248.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Suite, Standardzimmer","Italien, Emilia Romagna, Rimini",308.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Junior-Suite, Meerblick","Italien, Emilia Romagna, Rimini",260.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Suite, Standardzimmer","Italien, Emilia Romagna, Rimini",318.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Suite, Standardzimmer","Italien, Emilia Romagna, Rimini",330.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Junior-Suite, Meerblick","Italien, Emilia Romagna, Rimini",376.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Suite, Standardzimmer","Italien, Emilia Romagna, Rimini",464.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Suite, Standardzimmer","Italien, Emilia Romagna, Rimini",488.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Comfort-Zimmer","Italien, Emilia Romagna, Rimini",166.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Junior-Suite, Meerblick","Italien, Emilia Romagna, Rimini",238.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Suite, Standardzimmer","Italien, Emilia Romagna, Rimini",296.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Comfort-Zimmer","Italien, Emilia Romagna, Rimini",86.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Comfort-Zimmer","Italien, Emilia Romagna, Rimini",98.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Junior-Suite, Meerblick","Italien, Emilia Romagna, Rimini",122.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Junior-Suite, Meerblick","Italien, Emilia Romagna, Rimini",134.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Suite, Standardzimmer","Italien, Emilia Romagna, Rimini",150.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Suite, Standardzimmer","Italien, Emilia Romagna, Rimini",162.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Junior-Suite, Meerblick","Italien, Emilia Romagna, Rimini",134.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Suite, Standardzimmer","Italien, Emilia Romagna, Rimini",162.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Junior-Suite, Meerblick","Italien, Emilia Romagna, Rimini",260.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Comfort-Zimmer","Italien, Emilia Romagna, Rimini",260.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Suite, Standardzimmer","Italien, Emilia Romagna, Rimini",318.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Suite, Standardzimmer","Italien, Emilia Romagna, Rimini",318.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Junior-Suite, Meerblick","Italien, Emilia Romagna, Rimini",364.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Suite, Standardzimmer","Italien, Emilia Romagna, Rimini",452.0
TUI Deutschland,20.02.2019,2,Italien,Rimini,108659,2,Le Rose Suite Hotel,,,BF,EUR,4.0,,NULL,NULL,NULL,NULL,"Doppelzimmer (1 oder 2 Betten), Comfort-Zimmer","Italien, Emilia Romagna, Rimini",86.0
